Compound Identifier	Odor	Replicate	Intensity	Dilution	subject #	INTENSITY/STRENGTH	VALENCE/PLEASANTNESS	BAKERY	SWEET	FRUIT	FISH	GARLIC	SPICES	COLD	SOUR	BURNT	ACID	WARM	MUSKY	SWEATY	AMMONIA/URINOUS	DECAYED	WOOD	GRASS	FLOWER	CHEMICAL
243	N/A	0	high	1/1000	9	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	low	1/100000	10	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	high	1/1000	10	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	low	1/100000	11	96	6	0	0	0	0	0	0	0	29	0	0	0	82	0	24	0	0	0	0	15
243	N/A	0	high	1/1000	11	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	low	1/100000	12	27	47	12	0	0	0	13	19	0	0	0	0	0	0	0	0	0	0	0	0	0
243	N/A	0	high	1/1000	12	16	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
243	N/A	0	low	1/100000	13	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	high	1/1000	13	91	6	0	0	0	44	30	0	0	100	71	0	57	78	74	0	0	0	0	0	67
243	N/A	0	low	1/100000	14	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	high	1/1000	14	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
243	N/A	0	low	1/100000	15	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	high	1/1000	15	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	low	1/100000	16	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	high	1/1000	16	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	low	1/100000	17	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	high	1/1000	17	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	low	1/100000	18	0	55	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0
243	N/A	0	high	1/1000	18	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	low	1/100000	19	1	49	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
243	N/A	0	high	1/1000	19	50	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46
243	N/A	0	low	1/100000	20	13	45	0	0	0	0	0	0	0	0	58	0	21	0	0	0	0	0	0	0	28
243	N/A	0	high	1/1000	20	13	46	0	8	0	0	0	0	7	3	0	0	0	13	0	0	0	0	0	0	0
243	N/A	0	low	1/100000	21	33	18	0	1	0	0	0	0	0	0	10	0	0	11	0	0	0	0	0	0	0
243	N/A	0	high	1/1000	21	63	0	0	0	0	0	0	0	0	0	3	0	0	25	0	0	0	0	0	0	0
243	N/A	0	low	1/100000	22	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	high	1/1000	22	11	25	71	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0
243	N/A	0	low	1/100000	23	38	44	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0
243	N/A	0	high	1/1000	23	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	low	1/100000	24	6	54	0	33	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0
243	N/A	0	high	1/1000	24	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31
243	N/A	0	low	1/100000	25	67	35	0	0	0	27	23	34	0	46	0	41	0	18	25	73	0	45	71	0	51
243	N/A	0	high	1/1000	25	9	49	0	0	0	0	52	49	0	35	100	0	62	58	31	45	0	32	0	0	52
243	N/A	0	low	1/100000	26	1	64	0	65	60	0	0	0	7	55	0	22	0	0	0	0	0	0	0	0	5
243	N/A	0	high	1/1000	26	78	44	0	4	7	0	0	0	0	66	0	47	0	6	0	21	0	0	0	0	8
243	N/A	0	low	1/100000	27	12	69	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	18
243	N/A	0	high	1/1000	27	6	58	0	13	0	0	0	0	17	0	0	37	0	0	0	0	0	0	0	0	46
243	N/A	0	low	1/100000	28	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	high	1/1000	28	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	low	1/100000	29	3	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
243	N/A	0	high	1/1000	29	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0
243	N/A	0	low	1/100000	30	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	high	1/1000	30	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	low	1/100000	31	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	high	1/1000	31	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	low	1/100000	32	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	high	1/1000	32	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	low	1/100000	33	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	high	1/1000	33	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	low	1/100000	34	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	high	1/1000	34	39	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
243	N/A	0	low	1/100000	35	59	2	0	0	0	0	0	0	0	0	0	56	35	58	0	40	0	0	0	0	47
243	N/A	0	high	1/1000	35	2	27	0	0	0	0	0	0	57	64	0	0	0	0	0	0	0	0	0	0	0
243	N/A	0	low	1/100000	36	76	34	0	0	0	0	0	0	0	5	0	0	0	22	0	0	0	0	0	0	9
243	N/A	0	high	1/1000	36	33	44	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0
243	N/A	0	low	1/100000	37	5	96	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	38	0
243	N/A	0	high	1/1000	37	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	low	1/100000	38	22	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
243	N/A	0	high	1/1000	38	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	low	1/100000	39	30	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
243	N/A	0	high	1/1000	39	22	5	0	0	0	0	0	0	0	3	0	0	0	9	34	3	79	0	0	0	0
243	N/A	0	low	1/100000	40	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	high	1/1000	40	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	low	1/100000	41	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	high	1/1000	41	0	59	0	11	0	0	0	0	17	0	0	0	0	0	2	0	0	0	0	0	0
243	N/A	0	low	1/100000	42	1	42	0	1	1	0	0	1	1	1	0	1	1	1	1	1	1	0	0	0	4
243	N/A	0	high	1/1000	42	0	52	0	0	0	0	0	0	11	0	0	0	1	0	0	0	1	0	0	0	15
243	N/A	0	low	1/100000	43	3	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0
243	N/A	0	high	1/1000	43	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	low	1/100000	44	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	high	1/1000	44	23	53	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0
243	N/A	0	low	1/100000	45	44	46	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
243	N/A	0	high	1/1000	45	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	low	1/100000	46	5	49	1	1	1	2	2	2	2	1	1	30	1	1	1	1	1	1	1	1	1
243	N/A	0	high	1/1000	46	38	51	13	13	13	13	15	12	11	10	3	10	9	7	3	3	2	13	8	6	3
243	N/A	0	low	1/100000	47	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
243	N/A	0	high	1/1000	47	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	low	1/100000	48	1	94	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
243	N/A	0	high	1/1000	48	71	13	0	0	0	0	0	0	0	40	39	0	78	0	0	8	0	0	0	0	0
243	N/A	0	low	1/100000	49	3	54	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
243	N/A	0	high	1/1000	49	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
454	N/A	0	low	1/100000	1	33	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
454	N/A	0	high	1/1000	1	57	39	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0
454	N/A	0	low	1/100000	2	69	63	0	3	1	0	0	19	2	0	0	0	0	0	0	0	0	0	0	0	45
454	N/A	0	high	1/1000	2	80	39	0	22	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42
454	N/A	0	low	1/100000	3	26	69	0	74	0	0	0	38	0	0	0	0	80	0	0	0	0	0	0	64	0
454	N/A	0	high	1/1000	3	32	40	0	34	25	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	40
454	N/A	0	low	1/100000	4	4	91	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	93
454	N/A	0	high	1/1000	4	100	10	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	100
454	N/A	0	low	1/100000	5	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
454	N/A	0	high	1/1000	5	12	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
454	N/A	0	low	1/100000	6	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
454	N/A	0	high	1/1000	6	37	43	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0
454	N/A	0	low	1/100000	7	77	90	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50
454	N/A	0	high	1/1000	7	100	100	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
454	N/A	0	low	1/100000	8	63	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
454	N/A	0	high	1/1000	8	76	80	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
454	N/A	0	low	1/100000	9	100	100	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0
454	N/A	0	high	1/1000	9	100	100	0	0	100	0	0	0	100	0	0	0	0	0	0	0	0	0	0	100	0
454	N/A	0	low	1/100000	10	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
454	N/A	0	high	1/1000	10	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
454	N/A	0	low	1/100000	11	97	1	0	0	0	0	0	0	0	0	0	0	0	62	0	33	26	69	0	0	0
454	N/A	0	high	1/1000	11	92	22	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	72	31	0	0
454	N/A	0	low	1/100000	12	23	29	0	51	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0
454	N/A	0	high	1/1000	12	73	8	0	0	0	0	2	0	0	0	2	2	0	0	0	0	0	0	0	0	2
454	N/A	0	low	1/100000	13	21	93	0	71	0	0	0	0	98	0	0	55	0	0	0	100	57	0	0	0	79
454	N/A	0	high	1/1000	13	61	42	0	0	0	0	51	0	0	19	84	0	61	74	30	0	0	0	0	0	68
454	N/A	0	low	1/100000	14	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
454	N/A	0	high	1/1000	14	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
454	N/A	0	low	1/100000	15	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
454	N/A	0	high	1/1000	15	83	16	0	0	0	0	0	0	0	50	52	48	0	0	0	20	0	0	0	0	66
454	N/A	0	low	1/100000	16	66	58	0	21	0	0	0	16	25	8	0	29	0	0	9	33	0	0	0	16	23
454	N/A	0	high	1/1000	16	70	15	0	0	0	0	0	0	0	31	19	26	0	14	19	23	10	38	20	0	39
454	N/A	0	low	1/100000	17	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
454	N/A	0	high	1/1000	17	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40
454	N/A	0	low	1/100000	18	70	81	0	53	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
454	N/A	0	high	1/1000	18	75	10	0	0	0	0	0	0	0	50	0	0	0	74	0	0	0	0	0	0	0
454	N/A	0	low	1/100000	19	75	30	0	23	63	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	46
454	N/A	0	high	1/1000	19	52	20	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0
454	N/A	0	low	1/100000	20	76	61	0	66	17	0	0	0	8	0	0	0	0	0	0	0	0	0	0	35	0
454	N/A	0	high	1/1000	20	64	45	0	0	0	0	8	0	0	20	0	0	0	25	12	0	0	0	0	0	21
454	N/A	0	low	1/100000	21	11	71	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
454	N/A	0	high	1/1000	21	95	35	0	6	0	0	0	0	4	35	12	8	0	0	0	6	6	0	0	0	19
454	N/A	0	low	1/100000	22	75	58	0	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
454	N/A	0	high	1/1000	22	87	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75
454	N/A	0	low	1/100000	23	63	41	0	0	0	0	3	0	9	0	0	0	0	0	0	0	4	0	0	0	0
454	N/A	0	high	1/1000	23	75	23	0	0	0	0	0	0	0	0	0	0	0	40	33	0	0	0	0	0	0
454	N/A	0	low	1/100000	24	70	64	0	68	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0
454	N/A	0	high	1/1000	24	69	40	0	0	0	0	0	0	0	33	0	0	0	0	55	0	0	0	0	0	9
454	N/A	0	low	1/100000	25	59	71	0	89	60	0	0	36	0	0	0	0	0	0	0	0	0	18	0	66	15
454	N/A	0	high	1/1000	25	85	28	0	0	0	0	36	44	0	0	0	50	0	88	0	0	0	45	10	0	82
454	N/A	0	low	1/100000	26	7	89	0	44	53	0	0	0	15	10	0	9	0	0	0	0	0	0	28	3	0
454	N/A	0	high	1/1000	26	69	46	0	0	0	0	0	0	15	0	0	7	0	3	7	22	0	31	0	0	33
454	N/A	0	low	1/100000	27	55	62	0	14	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	10	0
454	N/A	0	high	1/1000	27	58	37	0	0	0	0	0	0	0	0	68	62	0	0	0	0	0	0	0	0	100
454	N/A	0	low	1/100000	28	36	38	0	0	0	0	0	0	63	0	0	32	0	0	0	0	73	0	0	0	28
454	N/A	0	high	1/1000	28	91	6	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0
454	N/A	0	low	1/100000	29	57	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
454	N/A	0	high	1/1000	29	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
454	N/A	0	low	1/100000	30	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
454	N/A	0	high	1/1000	30	81	47	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	39	20	0	10
454	N/A	0	low	1/100000	31	0	0	0	0	0	0	0	0	0	0	48	33	0	0	0	0	0	0	0	0	0
454	N/A	0	high	1/1000	31	28	27	0	0	0	0	0	0	0	0	0	13	29	0	0	21	0	0	0	0	0
454	N/A	0	low	1/100000	32	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
454	N/A	0	high	1/1000	32	82	15	0	0	0	0	0	0	0	58	0	0	0	45	0	53	0	0	0	0	0
454	N/A	0	low	1/100000	33	74	71	0	0	100	0	0	0	80	0	0	0	0	0	0	11	0	0	0	0	100
454	N/A	0	high	1/1000	33	66	30	0	0	0	0	0	0	0	0	0	0	98	100	0	0	0	0	0	58	0
454	N/A	0	low	1/100000	34	31	73	0	17	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
454	N/A	0	high	1/1000	34	94	47	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68
454	N/A	0	low	1/100000	35	64	63	0	46	47	0	0	0	46	0	0	0	0	0	0	0	0	0	0	39	12
454	N/A	0	high	1/1000	35	55	38	0	0	0	0	0	0	53	0	0	0	0	51	0	0	28	13	0	0	0
454	N/A	0	low	1/100000	36	78	26	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0
454	N/A	0	high	1/1000	36	80	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
454	N/A	0	low	1/100000	37	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
454	N/A	0	high	1/1000	37	38	36	0	0	0	0	0	0	0	0	11	28	0	9	0	0	9	0	0	0	39
454	N/A	0	low	1/100000	38	93	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
454	N/A	0	high	1/1000	38	86	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
454	N/A	0	low	1/100000	39	36	70	0	98	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
454	N/A	0	high	1/1000	39	60	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82
454	N/A	0	low	1/100000	40	19	80	0	0	0	0	0	50	53	50	67	41	0	0	47	49	0	0	36	0	36
454	N/A	0	high	1/1000	40	78	9	0	0	0	0	0	0	55	0	0	32	0	49	0	0	0	0	0	0	66
454	N/A	0	low	1/100000	41	66	57	0	16	17	0	0	0	13	0	0	0	0	0	0	0	0	0	0	14	0
454	N/A	0	high	1/1000	41	0	1	0	0	0	0	63	64	0	93	0	0	0	0	51	0	0	0	95	0	0
454	N/A	0	low	1/100000	42	74	72	0	0	0	0	0	0	6	0	0	1	2	1	1	1	0	56	0	15	55
454	N/A	0	high	1/1000	42	66	14	0	0	0	0	0	24	0	0	0	0	7	0	0	0	8	0	0	0	53
454	N/A	0	low	1/100000	43	56	82	0	34	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
454	N/A	0	high	1/1000	43	88	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70
454	N/A	0	low	1/100000	44	67	93	0	50	76	0	0	0	0	22	0	19	0	0	0	0	0	0	0	90	0
454	N/A	0	high	1/1000	44	85	61	0	15	0	0	0	0	0	0	0	0	32	58	0	0	0	24	0	0	0
454	N/A	0	low	1/100000	45	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
454	N/A	0	high	1/1000	45	56	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
454	N/A	0	low	1/100000	46	71	65	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	69	1
454	N/A	0	high	1/1000	46	50	51	1	1	1	1	1	1	1	1	1	1	1	1	1	26	1	1	1	1	1
454	N/A	0	low	1/100000	47	5	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
454	N/A	0	high	1/1000	47	71	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
454	N/A	0	low	1/100000	48	30	85	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
454	N/A	0	high	1/1000	48	88	14	0	0	0	0	0	57	0	45	0	0	0	0	0	0	21	0	0	0	0
454	N/A	0	low	1/100000	49	57	60	0	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
